github_repository_id,opening_name,closing_name,opening_class,closing_class,visibility_observed,role,assessment,priority,observed,next_action,acceptance,source_read_level,cvp_acceptance,source_ids
707502317,zz-pause-ref-ProjectSpyn,zz-pause-ref-ProjectSpyn,paused-reference,paused-reference,public,Historical coursework/reference,CUSTODY ONLY,P2,"The header says paused ASU FSE100 project, while inherited text claims all work migrated without a specific successor.",Preserve history and explicitly mark unverified historical migration language. Do not create new CVP work.,"Recoverable source, license and historical identity are recorded; no claim that undocumented absorption is proven.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S293
861430079,BytePort,BytePort,active-named,active-named,public,Git-to-deployment application,QUALIFY A BOUNDED DEPLOYMENT,P1,"The README describes Go/API and desktop/web paths, but labels manifest delivery and isolated microVM execution planned. Development instructions still refer to NVMS. A UI/compose startup is not deployment completion.",Select one already-supported target; reconcile the NVMS consumer boundary and run a clean repo-to-service deployment without an adjacent developer checkout.,"Authenticated connect, build, deploy, inspect logs, update and rollback; failed provisioning leaves known state; installed client or hosted route has exact artifact provenance.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S241
960016965,zz-pause-AgsLag,zz-inc-AgsLag,paused,incubation-named,private,Strategy/executive lineage; newly renamed incubation candidate,INCUBATION NAME CONFLICTS WITH PAUSED CONTENT,P0,"Closing list resolves this ID to zz-inc-AgsLag. Its refreshed README still says pause, pending merge into zz-agslag, and zz-agslag-dash retired. A new prefix did not resolve the actual strategy authority.",Request/locate the exact accepted incubation decision and its bounded charter. Preserve the strategy/allocation responsibilities without silently assigning them to AgilePlus or a document ledger.,"One role, source lineage, owner, scope, graduation condition and allowed actions are explicit. No new work or deletion proceeds from the name alone.",bounded-root-plus-selected-source,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S274;S319;OBS-CLOSE
980996178,zz-pause-Localbase,zz-pause-Localbase,paused,paused,public,Paused decentralized compute marketplace,KEEP RESEARCH/PRODUCT BOUNDARY DISTINCT,P2,"The README describes Cosmos marketplace, provider/API and frontend subsystems under permanent pause.",Preserve historical work and any authorized existing data. Do not silently import its marketplace/blockchain requirements into PhenoFabric or resume deployment.,"Custody, licenses, outstanding secrets/infrastructure and historical status are known. Future reuse requires a bounded accepted requirement, not name similarity.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S276
998124581,zz-pause-ref-AtomsTech,zz-pause-ref-AtomsTech,paused-reference,paused-reference,private,Historical website/product reference,CUSTODY ONLY,P2,Paused/reference header sits above a generic archived/migrated notice with no target.,Keep the reference with dated role and provenance. Identify any still-owned domain/credential obligations separately.,"Historical source remains recoverable, obsolete live claims are flagged, and no new product work or deletion is inferred.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S294
1009324469,zz-pause-ref-AtomsBot,zz-pause-ref-AtomsBot,paused-reference,paused-reference,private,Strictly paused bot/reference,HONOR THE EXPLICIT FREEZE,P2,"The README explicitly prohibits new commits, PRs, issues, releases, dependents and agent work without owner sign-off.",Maintain read-only observation and external custody records. Do not edit the repository merely to satisfy a generic portfolio checklist.,No automated mutation occurs; any future resumption requires explicit scoped supersession and appropriate credential review.,bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S295
1015249259,zz-pause-ref-KaskMan,zz-pause-ref-KaskMan,paused-reference,paused-reference,private,Historical reference repository,CUSTODY ONLY,P2,"The README says no longer maintained and absorbed or irrelevant, without identifying precise target parity.",Preserve; flag migration status as unverified rather than converting the sentence into retirement authority.,"Stable ID, history, retained artifacts and access are known; no manufactured application or quality target is added.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S296
1017123874,zz-pause-RIPFitnessApp,zz-inc-RIPFitnessApp,paused,incubation-named,public,Retired fitness app; incubation-name transition,CONFIRM WHETHER A REVIVAL WAS ACTUALLY AUTHORIZED,P2,"Earlier header says permanent pause/retirement. Closing name is zz-inc-RIPFitnessApp, without a retrieved new product charter.",Preserve the old application and identify a bounded new user job only if a scoped decision exists; no obligation to manufacture a CVP from coursework/history.,Explicit owner and decision separate archival custody from an actual incubation task. Existing secrets and user data are handled privately.,bounded-root-plus-selected-source,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S283;OBS-CLOSE
1020556829,zz-pause-VibeKanban,zz-inc-VibeKanban,paused,incubation-named,public,Reference upstream-derived planning UI; incubation-name conflict,EXPLICIT NO-DEVELOPMENT NOTICE STILL PRESENT,P0,"Despite the closing zz-inc-VibeKanban name, its refreshed README still explicitly says reference/inspiration only and tells agents to stop unarchiving/developing it.",Do not treat the prefix as permission. Locate an explicit human supersession before new work. Preserve usable reference material and fork provenance.,"Until a scoped supersession is established, no automatic development, new integration authority or retirement action; any approved experiment must state why it is needed.",bounded-root-plus-selected-source,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S281;S318;OBS-CLOSE
1048244869,zz-pause-ref-Synthia,zz-pause-ref-Synthia,paused-reference,paused-reference,public,Retired PAL/Zen MCP-derived reference,RESPECT THE NO-WORK NOTICE,P2,"The top-level instruction says no longer needed/stop working, followed by upstream PAL MCP material.",Retain as reference and distinguish upstream documentation from owned maintained capability. Do not resume bot/provider development.,Source/upstream lineage and retained rights are recorded; no operational dependency is added without a new decision.,bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S297
